subject,condition,component,amplitude,latency
M1_session_23__set_1_coilqppa.h5,imagery,P30,1.9102111,32.6
M1_session_23__set_1_coilqppa.h5,imagery,N45,1.8236085,35.0
M1_session_23__set_1_coilqppa.h5,imagery,P60,2.207102,67.4
M1_session_23__set_1_coilqppa.h5,imagery,N100,2.8774214,139.2
M1_session_23__set_1_coilqppa.h5,imagery,P180,2.6686966,150.0
M1_session_23__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_23__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_23__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_23__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_23__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_23__set_2_coilTpa.h5,pre,P30,1.7599277,22.4
M1_session_23__set_2_coilTpa.h5,pre,N45,1.4104636,43.2
M1_session_23__set_2_coilTpa.h5,pre,P60,1.9449612,75.0
M1_session_23__set_2_coilTpa.h5,pre,N100,3.1099546,131.4
M1_session_23__set_2_coilTpa.h5,pre,P180,3.4569228,169.4
M1_session_23__set_2_coilTpa.h5,imagery,P30,2.3520062,31.4
M1_session_23__set_2_coilTpa.h5,imagery,N45,2.1326652,40.4
M1_session_23__set_2_coilTpa.h5,imagery,P60,2.0721092,71.4
M1_session_23__set_2_coilTpa.h5,imagery,N100,4.989185,111.8
M1_session_23__set_2_coilTpa.h5,imagery,P180,3.7924254,205.6
M1_session_23__set_2_coilTpa.h5,post,P30,0.0,20.0
M1_session_23__set_2_coilTpa.h5,post,N45,0.0,35.0
M1_session_23__set_2_coilTpa.h5,post,P60,0.0,50.0
M1_session_23__set_2_coilTpa.h5,post,N100,0.0,80.0
M1_session_23__set_2_coilTpa.h5,post,P180,0.0,150.0
M1_session_23__set_3_coilTap.h5,pre,P30,2.8571115,31.8
M1_session_23__set_3_coilTap.h5,pre,N45,2.432659,35.0
M1_session_23__set_3_coilTap.h5,pre,P60,1.9536244,80.0
M1_session_23__set_3_coilTap.h5,pre,N100,2.7504764,107.4
M1_session_23__set_3_coilTap.h5,pre,P180,3.6558976,150.4
M1_session_23__set_3_coilTap.h5,imagery,P30,2.0592098,31.2
M1_session_23__set_3_coilTap.h5,imagery,N45,2.0828543,60.0
M1_session_23__set_3_coilTap.h5,imagery,P60,2.2400193,74.2
M1_session_23__set_3_coilTap.h5,imagery,N100,2.5689833,115.6
M1_session_23__set_3_coilTap.h5,imagery,P180,2.6801994,229.2
M1_session_23__set_3_coilTap.h5,post,P30,0.0,20.0
M1_session_23__set_3_coilTap.h5,post,N45,0.0,35.0
M1_session_23__set_3_coilTap.h5,post,P60,0.0,50.0
M1_session_23__set_3_coilTap.h5,post,N100,0.0,80.0
M1_session_23__set_3_coilTap.h5,post,P180,0.0,150.0
M1_session_24__set_1_coilqppa.h5,pre,P30,2.2665877,40.0
M1_session_24__set_1_coilqppa.h5,pre,N45,2.3468199,41.6
M1_session_24__set_1_coilqppa.h5,pre,P60,2.9398403,78.2
M1_session_24__set_1_coilqppa.h5,pre,N100,2.85783,118.0
M1_session_24__set_1_coilqppa.h5,pre,P180,3.0548737,179.2
M1_session_24__set_1_coilqppa.h5,imagery,P30,3.1693048,40.0
M1_session_24__set_1_coilqppa.h5,imagery,N45,3.2069566,40.8
M1_session_24__set_1_coilqppa.h5,imagery,P60,2.7195575,80.0
M1_session_24__set_1_coilqppa.h5,imagery,N100,4.4507422,140.0
M1_session_24__set_1_coilqppa.h5,imagery,P180,4.5339594,206.8
M1_session_24__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_24__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_24__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_24__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_24__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_24__set_2_coilTpa.h5,pre,P30,3.3492928,36.8
M1_session_24__set_2_coilTpa.h5,pre,N45,3.3492928,36.8
M1_session_24__set_2_coilTpa.h5,pre,P60,3.321894,80.0
M1_session_24__set_2_coilTpa.h5,pre,N100,3.79671,88.6
M1_session_24__set_2_coilTpa.h5,pre,P180,4.9985075,173.4
M1_session_24__set_2_coilTpa.h5,imagery,P30,3.525271,35.4
M1_session_24__set_2_coilTpa.h5,imagery,N45,3.525271,35.4
M1_session_24__set_2_coilTpa.h5,imagery,P60,2.389209,74.8
M1_session_24__set_2_coilTpa.h5,imagery,N100,3.5158012,121.2
M1_session_24__set_2_coilTpa.h5,imagery,P180,3.844649,174.0
M1_session_24__set_2_coilTpa.h5,post,P30,0.0,20.0
M1_session_24__set_2_coilTpa.h5,post,N45,0.0,35.0
M1_session_24__set_2_coilTpa.h5,post,P60,0.0,50.0
M1_session_24__set_2_coilTpa.h5,post,N100,0.0,80.0
M1_session_24__set_2_coilTpa.h5,post,P180,0.0,150.0
M1_session_24__set_5_coilTap.h5,pre,P30,3.2145045,21.2
M1_session_24__set_5_coilTap.h5,pre,N45,1.9974065,50.6
M1_session_24__set_5_coilTap.h5,pre,P60,3.2603586,80.0
M1_session_24__set_5_coilTap.h5,pre,N100,4.196754,102.2
M1_session_24__set_5_coilTap.h5,pre,P180,3.4944682,227.0
M1_session_24__set_5_coilTap.h5,imagery,P30,2.6754975,20.0
M1_session_24__set_5_coilTap.h5,imagery,N45,1.8227388,35.0
M1_session_24__set_5_coilTap.h5,imagery,P60,2.5032303,80.0
M1_session_24__set_5_coilTap.h5,imagery,N100,3.4964173,101.2
M1_session_24__set_5_coilTap.h5,imagery,P180,3.172068,187.8
M1_session_24__set_5_coilTap.h5,post,P30,0.0,20.0
M1_session_24__set_5_coilTap.h5,post,N45,0.0,35.0
M1_session_24__set_5_coilTap.h5,post,P60,0.0,50.0
M1_session_24__set_5_coilTap.h5,post,N100,0.0,80.0
M1_session_24__set_5_coilTap.h5,post,P180,0.0,150.0
M1_session_25__set_1_coilqppa.h5,pre,P30,5.68099,22.0
M1_session_25__set_1_coilqppa.h5,pre,N45,3.264994,35.0
M1_session_25__set_1_coilqppa.h5,pre,P60,2.9467068,75.4
M1_session_25__set_1_coilqppa.h5,pre,N100,4.8035054,105.4
M1_session_25__set_1_coilqppa.h5,pre,P180,5.079347,201.2
M1_session_25__set_1_coilqppa.h5,imagery,P30,4.470905,40.0
M1_session_25__set_1_coilqppa.h5,imagery,N45,4.9751663,47.6
M1_session_25__set_1_coilqppa.h5,imagery,P60,4.6684337,50.0
M1_session_25__set_1_coilqppa.h5,imagery,N100,4.506546,137.4
M1_session_25__set_1_coilqppa.h5,imagery,P180,7.83864,200.4
M1_session_25__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_25__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_25__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_25__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_25__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_25__set_2_coilqppa.h5,pre,P30,4.028729,20.0
M1_session_25__set_2_coilqppa.h5,pre,N45,3.9586852,39.8
M1_session_25__set_2_coilqppa.h5,pre,P60,3.9530356,80.0
M1_session_25__set_2_coilqppa.h5,pre,N100,6.784442,107.8
M1_session_25__set_2_coilqppa.h5,pre,P180,6.3604445,200.6
M1_session_25__set_2_coilqppa.h5,imagery,P30,5.140856,23.8
M1_session_25__set_2_coilqppa.h5,imagery,N45,4.779728,35.0
M1_session_25__set_2_coilqppa.h5,imagery,P60,3.4674962,50.0
M1_session_25__set_2_coilqppa.h5,imagery,N100,6.488969,112.0
M1_session_25__set_2_coilqppa.h5,imagery,P180,5.5044813,227.6
M1_session_25__set_2_coilqppa.h5,post,P30,0.0,20.0
M1_session_25__set_2_coilqppa.h5,post,N45,0.0,35.0
M1_session_25__set_2_coilqppa.h5,post,P60,0.0,50.0
M1_session_25__set_2_coilqppa.h5,post,N100,0.0,80.0
M1_session_25__set_2_coilqppa.h5,post,P180,0.0,150.0
M1_session_25__set_2_coilTpa.h5,pre,P30,4.023896,24.2
M1_session_25__set_2_coilTpa.h5,pre,N45,3.6625867,39.6
M1_session_25__set_2_coilTpa.h5,pre,P60,3.876138,80.0
M1_session_25__set_2_coilTpa.h5,pre,N100,7.041975,107.0
M1_session_25__set_2_coilTpa.h5,pre,P180,6.434785,200.8
M1_session_25__set_2_coilTpa.h5,imagery,P30,5.3537574,24.2
M1_session_25__set_2_coilTpa.h5,imagery,N45,5.2184906,35.0
M1_session_25__set_2_coilTpa.h5,imagery,P60,3.3998952,50.0
M1_session_25__set_2_coilTpa.h5,imagery,N100,6.5819135,112.2
M1_session_25__set_2_coilTpa.h5,imagery,P180,5.188856,228.2
M1_session_25__set_2_coilTpa.h5,post,P30,0.0,20.0
M1_session_25__set_2_coilTpa.h5,post,N45,0.0,35.0
M1_session_25__set_2_coilTpa.h5,post,P60,0.0,50.0
M1_session_25__set_2_coilTpa.h5,post,N100,0.0,80.0
M1_session_25__set_2_coilTpa.h5,post,P180,0.0,150.0
M1_session_25__set_3_coilTap.h5,pre,P30,4.420954,21.6
M1_session_25__set_3_coilTap.h5,pre,N45,3.7906067,35.0
M1_session_25__set_3_coilTap.h5,pre,P60,2.567076,73.2
M1_session_25__set_3_coilTap.h5,pre,N100,5.516377,123.2
M1_session_25__set_3_coilTap.h5,pre,P180,3.8865004,223.4
M1_session_25__set_3_coilTap.h5,imagery,P30,5.1190066,20.2
M1_session_25__set_3_coilTap.h5,imagery,N45,4.234673,35.0
M1_session_25__set_3_coilTap.h5,imagery,P60,4.8674273,69.0
M1_session_25__set_3_coilTap.h5,imagery,N100,6.4666543,111.8
M1_session_25__set_3_coilTap.h5,imagery,P180,4.16452,223.0
M1_session_25__set_3_coilTap.h5,post,P30,0.0,20.0
M1_session_25__set_3_coilTap.h5,post,N45,0.0,35.0
M1_session_25__set_3_coilTap.h5,post,P60,0.0,50.0
M1_session_25__set_3_coilTap.h5,post,N100,0.0,80.0
M1_session_25__set_3_coilTap.h5,post,P180,0.0,150.0
M1_session_25__set_8_coilTpa.h5,pre,P30,4.502419,33.6
M1_session_25__set_8_coilTpa.h5,pre,N45,4.462268,35.6
M1_session_25__set_8_coilTpa.h5,pre,P60,4.6428323,73.4
M1_session_25__set_8_coilTpa.h5,pre,N100,5.9698687,137.0
M1_session_25__set_8_coilTpa.h5,pre,P180,6.5347824,223.2
M1_session_25__set_8_coilTpa.h5,imagery,P30,5.9745507,39.2
M1_session_25__set_8_coilTpa.h5,imagery,N45,5.9745507,39.2
M1_session_25__set_8_coilTpa.h5,imagery,P60,5.723697,52.4
M1_session_25__set_8_coilTpa.h5,imagery,N100,4.6279097,96.4
M1_session_25__set_8_coilTpa.h5,imagery,P180,6.591898,150.0
M1_session_25__set_8_coilTpa.h5,post,P30,0.0,20.0
M1_session_25__set_8_coilTpa.h5,post,N45,0.0,35.0
M1_session_25__set_8_coilTpa.h5,post,P60,0.0,50.0
M1_session_25__set_8_coilTpa.h5,post,N100,0.0,80.0
M1_session_25__set_8_coilTpa.h5,post,P180,0.0,150.0
M1_session_25__set_9_coilTap.h5,pre,P30,2.702842,20.0
M1_session_25__set_9_coilTap.h5,pre,N45,2.7985728,50.8
M1_session_25__set_9_coilTap.h5,pre,P60,2.7985728,50.8
M1_session_25__set_9_coilTap.h5,pre,N100,3.364889,140.0
M1_session_25__set_9_coilTap.h5,pre,P180,4.731996,211.4
M1_session_25__set_9_coilTap.h5,imagery,P30,4.783761,38.6
M1_session_25__set_9_coilTap.h5,imagery,N45,4.783761,38.6
M1_session_25__set_9_coilTap.h5,imagery,P60,4.6141267,70.2
M1_session_25__set_9_coilTap.h5,imagery,N100,5.1700993,125.4
M1_session_25__set_9_coilTap.h5,imagery,P180,6.35732,203.0
M1_session_25__set_9_coilTap.h5,post,P30,0.0,20.0
M1_session_25__set_9_coilTap.h5,post,N45,0.0,35.0
M1_session_25__set_9_coilTap.h5,post,P60,0.0,50.0
M1_session_25__set_9_coilTap.h5,post,N100,0.0,80.0
M1_session_25__set_9_coilTap.h5,post,P180,0.0,150.0
M1_session_26__set_1_coilqppa.h5,pre,P30,2.3269653,35.2
M1_session_26__set_1_coilqppa.h5,pre,N45,2.3269653,35.2
M1_session_26__set_1_coilqppa.h5,pre,P60,2.1636102,59.4
M1_session_26__set_1_coilqppa.h5,pre,N100,2.272701,131.4
M1_session_26__set_1_coilqppa.h5,pre,P180,2.3342874,207.0
M1_session_26__set_1_coilqppa.h5,imagery,P30,1.6653616,37.2
M1_session_26__set_1_coilqppa.h5,imagery,N45,1.9440122,58.4
M1_session_26__set_1_coilqppa.h5,imagery,P60,1.9440122,58.4
M1_session_26__set_1_coilqppa.h5,imagery,N100,2.4564836,129.0
M1_session_26__set_1_coilqppa.h5,imagery,P180,3.202202,222.0
M1_session_26__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_26__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_26__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_26__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_26__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_26__set_2_coilTpa.h5,pre,P30,1.700488,40.0
M1_session_26__set_2_coilTpa.h5,pre,N45,2.0844297,44.4
M1_session_26__set_2_coilTpa.h5,pre,P60,1.8610772,70.8
M1_session_26__set_2_coilTpa.h5,pre,N100,2.4293237,140.0
M1_session_26__set_2_coilTpa.h5,pre,P180,3.0149925,182.4
M1_session_26__set_2_coilTpa.h5,imagery,P30,1.519325,40.0
M1_session_26__set_2_coilTpa.h5,imagery,N45,1.9137254,59.4
M1_session_26__set_2_coilTpa.h5,imagery,P60,2.0965643,70.0
M1_session_26__set_2_coilTpa.h5,imagery,N100,2.5419014,139.0
M1_session_26__set_2_coilTpa.h5,imagery,P180,3.5877237,182.4
M1_session_26__set_2_coilTpa.h5,post,P30,0.0,20.0
M1_session_26__set_2_coilTpa.h5,post,N45,0.0,35.0
M1_session_26__set_2_coilTpa.h5,post,P60,0.0,50.0
M1_session_26__set_2_coilTpa.h5,post,N100,0.0,80.0
M1_session_26__set_2_coilTpa.h5,post,P180,0.0,150.0
M1_session_26__set_3_coilTap.h5,pre,P30,1.8642256,33.8
M1_session_26__set_3_coilTap.h5,pre,N45,1.8085866,35.2
M1_session_26__set_3_coilTap.h5,pre,P60,1.6209223,55.6
M1_session_26__set_3_coilTap.h5,pre,N100,1.9858209,100.2
M1_session_26__set_3_coilTap.h5,pre,P180,2.0396397,169.8
M1_session_26__set_3_coilTap.h5,imagery,P30,1.6145947,36.8
M1_session_26__set_3_coilTap.h5,imagery,N45,1.9571131,54.4
M1_session_26__set_3_coilTap.h5,imagery,P60,2.0230122,80.0
M1_session_26__set_3_coilTap.h5,imagery,N100,2.5502903,138.8
