subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
14AL,58,MI,M1_AP,rest,n100,80.0,120.0,16.96961930890878,-16.96961930890878,105.06666666666666,-18.231049201488496,106.19999999999999,38,3,CP3,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,onset,n20,10.0,25.0,10.884502104461815,-10.884502104461815,10.600000000000003,-12.903187713623048,10.600000000000023,42,3,C1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,onset,p30,20.0,40.0,6.958537029226622,6.958537029226622,21.666666666666668,7.263852039054036,22.19999999999999,12,3,Fp1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,onset,n45,40.0,55.0,5.408608124454815,-5.408608124454815,46.46666666666666,-6.03887885004282,40.39999999999998,11,3,O1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,onset,p60,55.0,70.0,6.409893781468273,6.409893781468273,64.8,6.771392171382904,63.0,47,3,Fpz,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,onset,n100,80.0,120.0,6.749421487860381,-6.749421487860381,100.13333333333334,-7.143415340483188,101.19999999999999,8,3,P3,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,after,n20,10.0,25.0,10.298668052454788,-10.298668052454788,10.600000000000003,-11.712032303810119,10.800000000000011,42,3,C1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,after,p30,20.0,40.0,8.792806862294675,8.792806862294675,22.46666666666668,9.643694224059582,23.0,12,3,Fp1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,after,n45,40.0,55.0,7.212874655028185,-7.212874655028185,40.6,-8.665254934430122,40.80000000000001,54,3,PO8,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,after,p60,55.0,70.0,11.86000808954239,11.86000808954239,64.73333333333333,12.641837619543075,66.39999999999998,12,3,Fp1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,after,n100,80.0,120.0,8.583392672141393,-8.583392672141393,98.26666666666667,-8.71025438606739,97.60000000000002,11,3,O1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
